,src,dest,src_EQ,dest_EQ,energy,Ea
0,6,117,-678.46794828317,-678.467866369032,-678.4513594266281,0.016588856541943642
1,117,6,-678.467866369032,-678.46794828317,-678.4513594266281,0.016506942403907487
2,29,118,-678.467604903473,-678.467638003895,-678.459084372905,0.008520530568034701
3,118,29,-678.467638003895,-678.467604903473,-678.459084372905,0.008553630990036254
4,84,119,-678.466721932627,-678.466475456192,-678.466103902236,0.0006180303910241491
5,119,84,-678.466475456192,-678.466721932627,-678.466103902236,0.00037155395602894714
6,54,32,-678.467223189524,-678.46648949554,-678.4519792096,0.015243979923980078
7,32,54,-678.46648949554,-678.467223189524,-678.4519792096,0.014510285939991263
8,0,120,-678.467657663344,-678.467525840313,-678.4602317949949,0.007425868349059783
9,120,0,-678.467525840313,-678.467657663344,-678.4602317949949,0.007294045318076314
10,84,121,-678.466721932627,-678.4656513810061,-678.450334741721,0.016387190906016258
11,121,84,-678.4656513810061,-678.466721932627,-678.450334741721,0.015316639285060774
12,87,122,-678.446728460242,-678.446294154252,-678.445776455401,0.0009520048409967785
13,122,87,-678.446294154252,-678.446728460242,-678.445776455401,0.0005176988510129377
14,105,123,-678.447591386026,-678.387041497946,-678.376796027626,0.07079535840000517
15,123,105,-678.387041497946,-678.447591386026,-678.376796027626,0.010245470320001004
16,78,124,-678.447279095775,-678.447169813625,-678.445662709576,0.0016163861989753059
17,124,78,-678.447169813625,-678.447279095775,-678.445662709576,0.0015071040489829102
18,84,125,-678.466721932627,-678.465634891842,-678.450062958766,0.016658973861012782
19,125,84,-678.465634891842,-678.466721932627,-678.450062958766,0.015571933075989364
20,6,9,-678.46794828317,-678.467754250364,-678.466442676693,0.001505606477053334
21,9,6,-678.467754250364,-678.46794828317,-678.466442676693,0.0013115736710460624
22,29,9,-678.467604903473,-678.467754250364,-678.456464262166,0.011140641306951693
23,9,29,-678.467754250364,-678.467604903473,-678.456464262166,0.011289988197972889
24,0,126,-678.467657663344,-678.467651095717,-678.4659437426719,0.0017139206720457878
25,126,0,-678.467651095717,-678.467657663344,-678.4659437426719,0.001707353045048876
26,29,127,-678.467604903473,-678.467608147757,-678.463106026202,0.004498877270975754
27,127,29,-678.467608147757,-678.467604903473,-678.463106026202,0.0045021215549923
28,18,128,-678.468035069086,-678.465556842757,-678.4640930084211,0.0039420606649400725
29,128,18,-678.465556842757,-678.468035069086,-678.4640930084211,0.0014638343359365535
30,54,9,-678.467223189524,-678.467754250364,-678.458087750401,0.009135439123042488
31,9,54,-678.467754250364,-678.467223189524,-678.458087750401,0.009666499963032038
32,101,78,-678.4468054819661,-678.447279095775,-678.44473035971,0.002075122256087525
33,78,101,-678.447279095775,-678.4468054819661,-678.44473035971,0.0025487360650231494
34,32,54,-678.46648949554,-678.467223189524,-678.465316582123,0.0011729134170082034
35,54,32,-678.467223189524,-678.46648949554,-678.465316582123,0.001906607400997018
36,100,129,-678.4678937278769,-678.46615050797,-678.4537523595,0.014141368376954233
37,129,100,-678.46615050797,-678.4678937278769,-678.4537523595,0.01239814847008347
38,100,130,-678.4678937278769,-678.465518617441,-678.455139393037,0.012754334839883086
39,130,100,-678.465518617441,-678.4678937278769,-678.455139393037,0.010379224404005072
40,130,131,-678.465518617441,-678.4661465279239,-678.454868735252,0.010649882188999982
41,131,130,-678.4661465279239,-678.465518617441,-678.454868735252,0.011277792671876341
42,15,16,-678.447038555516,-678.4471519018521,-678.447139941073,-0.00010138555705907493
43,16,15,-678.4471519018521,-678.447038555516,-678.447139941073,1.1960779033870494e-05
44,42,132,-678.446701016018,-678.4464740865831,-678.446153287814,0.0005477282039692
45,132,42,-678.4464740865831,-678.446701016018,-678.446153287814,0.000320798769052999
46,32,133,-678.46648949554,-678.466077333505,-678.466183991246,0.0003055042940331987
47,133,32,-678.466077333505,-678.46648949554,-678.466183991246,-0.00010665774095741654
48,133,32,-678.466077333505,-678.46648949554,-678.465974511583,0.00010282192204158491
49,32,133,-678.46648949554,-678.466077333505,-678.465974511583,0.0005149839570322001
50,22,134,-678.447770730758,-678.446533564489,-678.4449925652671,0.002778165490894935
51,134,22,-678.446533564489,-678.447770730758,-678.4449925652671,0.0015409992219019841
52,65,9,-678.4677188549459,-678.467754250364,-678.458700311468,0.009018543477964158
53,9,65,-678.467754250364,-678.4677188549459,-678.458700311468,0.00905393889604511
54,102,51,-678.4467817340441,-678.446905944938,-678.446401464121,0.0003802699230845974
55,51,102,-678.446905944938,-678.4467817340441,-678.446401464121,0.0005044808169714088
56,89,135,-678.447125710228,-678.386902543652,-678.374073264248,0.07305244598001082
57,135,89,-678.386902543652,-678.447125710228,-678.374073264248,0.01282927940405898
58,32,136,-678.46648949554,-678.4656644409511,-678.466369573102,0.00011992243798886193
59,136,32,-678.4656644409511,-678.46648949554,-678.466369573102,-0.0007051321509834452
60,136,137,-678.4656644409511,-678.465997725895,-678.466275433828,-0.0006109928768864847
61,137,136,-678.465997725895,-678.4656644409511,-678.466275433828,-0.0002777079329234766
62,29,9,-678.467604903473,-678.467754250364,-678.465216982451,0.0023879210219774905
63,9,29,-678.467754250364,-678.467604903473,-678.465216982451,0.0025372679129986864
64,27,138,-678.440654358478,-678.38573965233,-678.375268230125,0.06538612835299773
65,138,27,-678.38573965233,-678.440654358478,-678.375268230125,0.010471422205000636
66,9,139,-678.467754250364,-678.467605666095,-678.464825225435,0.0029290249290170323
67,139,9,-678.467605666095,-678.467754250364,-678.464825225435,0.0027804406599898357
68,100,140,-678.4678937278769,-678.445866130572,-678.418060489672,0.049833238204882946
69,140,100,-678.445866130572,-678.4678937278769,-678.418060489672,0.027805640899941864
70,74,66,-678.446972781473,-678.447407370703,-678.4459358825891,0.0010368988839672966
71,66,74,-678.447407370703,-678.446972781473,-678.4459358825891,0.0014714881139070712
72,66,141,-678.447407370703,-678.447050828022,-678.445970894069,0.0014364766340122515
73,141,66,-678.447050828022,-678.447407370703,-678.445970894069,0.0010799339530649377
74,101,78,-678.4468054819661,-678.447279095775,-678.4455917610289,0.001213720937130347
75,78,101,-678.447279095775,-678.4468054819661,-678.4455917610289,0.0016873347460659716
76,91,142,-678.446520451649,-678.446666490757,-678.438581978183,0.007938473465969764
77,142,91,-678.446666490757,-678.446520451649,-678.438581978183,0.008084512573987013
78,6,54,-678.46794828317,-678.467223189524,-678.461963986025,0.005984297145005257
79,54,6,-678.467223189524,-678.46794828317,-678.461963986025,0.005259203499008436
80,55,143,-678.440385107268,-678.409954075369,-678.3649069512941,0.07547815597388308
81,143,55,-678.409954075369,-678.440385107268,-678.3649069512941,0.045047124074926614
82,59,42,-678.4406414215371,-678.446701016018,-678.440125754173,0.0005156673640840381
83,42,59,-678.446701016018,-678.4406414215371,-678.440125754173,0.006575261845000568
84,50,144,-678.446424027647,-678.446636834169,-678.442156050256,0.004267977391009481
85,144,50,-678.446636834169,-678.446424027647,-678.442156050256,0.0044807839129816784
86,26,145,-678.4210616992759,-678.465553642968,-678.400135010944,0.02092668833188327
87,145,26,-678.465553642968,-678.4210616992759,-678.400135010944,0.06541863202392051
88,64,50,-678.446718384524,-678.446424027647,-678.4460300011181,0.0006883834059863148
89,50,64,-678.446424027647,-678.446718384524,-678.4460300011181,0.00039402652896569634
90,31,146,-678.440354578408,-678.44066236267,-678.439913890395,0.0004406880129863566
91,146,31,-678.44066236267,-678.440354578408,-678.439913890395,0.0007484722749495631
92,146,51,-678.44066236267,-678.446905944938,-678.4397325789711,0.000929783698893516
93,51,146,-678.446905944938,-678.44066236267,-678.4397325789711,0.007173365966878009
94,115,147,-678.467776517579,-678.467690565343,-678.465109493376,0.002667024202992252
95,147,115,-678.467690565343,-678.467776517579,-678.465109493376,0.0025810719670289473
96,147,9,-678.467690565343,-678.467754250364,-678.465867997063,0.0018225682799766219
97,9,147,-678.467754250364,-678.467690565343,-678.465867997063,0.0018862533009951221
98,79,9,-678.466015791456,-678.467754250364,-678.454170985602,0.011844805854025253
99,9,79,-678.467754250364,-678.466015791456,-678.454170985602,0.013583264762019098
100,107,41,-678.4464980918799,-678.4470429589051,-678.445899015048,0.0005990768319179551
101,41,107,-678.4470429589051,-678.4464980918799,-678.445899015048,0.0011439438570732818
102,40,17,-678.446661412607,-678.4469650122161,-678.446430747034,0.00023066557298534462
103,17,40,-678.4469650122161,-678.446661412607,-678.446430747034,0.0005342651820683386
104,28,45,-678.440789325468,-678.446733199745,-678.44115423082,-0.0003649053519438894
105,45,28,-678.446733199745,-678.440789325468,-678.44115423082,0.005578968925078698
106,22,148,-678.447770730758,-678.38603886158,-678.376988016247,0.07078271451098317
107,148,22,-678.38603886158,-678.447770730758,-678.376988016247,0.009050845333035795
108,18,149,-678.468035069086,-678.467619752317,-678.461280233643,0.0067548354429618485
109,149,18,-678.467619752317,-678.468035069086,-678.461280233643,0.006339518673939892
110,149,29,-678.467619752317,-678.467604903473,-678.466171654448,0.0014480978690016855
111,29,149,-678.467604903473,-678.467619752317,-678.466171654448,0.0014332490250126284
112,18,150,-678.468035069086,-678.4675540002929,-678.464419316276,0.0036157528099920455
113,150,18,-678.4675540002929,-678.468035069086,-678.464419316276,0.003134684016913525
114,6,151,-678.46794828317,-678.465988430372,-678.454784765844,0.013163517326006513
115,151,6,-678.465988430372,-678.46794828317,-678.454784765844,0.011203664528011359
116,151,152,-678.465988430372,-678.46613393243,-678.466340503902,-0.00035207352993893437
117,152,151,-678.46613393243,-678.465988430372,-678.466340503902,-0.0002065714719492462
118,152,32,-678.46613393243,-678.46648949554,-678.465825045236,0.0003088871940235549
119,32,152,-678.46648949554,-678.46613393243,-678.465825045236,0.0006644503040433847
120,14,153,-678.440980925777,-678.439847933881,-678.439278020938,0.0017029048390213575
121,153,14,-678.439847933881,-678.440980925777,-678.439278020938,0.0005699129429785899
122,1,154,-678.447442703187,-678.446295705848,-678.443889967469,0.003552735718017175
123,154,1,-678.446295705848,-678.447442703187,-678.443889967469,0.002405738379025024
124,154,140,-678.446295705848,-678.445866130572,-678.4442513369439,0.0020443689040803292
125,140,154,-678.445866130572,-678.446295705848,-678.4442513369439,0.0016147936280503927
126,115,155,-678.467776517579,-678.467884557216,-678.455092384322,0.012684133256925634
127,155,115,-678.467884557216,-678.467776517579,-678.455092384322,0.012792172894023679
128,5,35,-678.446839413384,-678.446585357104,-678.443837233998,0.0030021793860441903
129,35,5,-678.446585357104,-678.446839413384,-678.443837233998,0.0027481231060164646
130,6,9,-678.46794828317,-678.467754250364,-678.4677925429099,0.00015574026008380315
131,9,6,-678.467754250364,-678.46794828317,-678.4677925429099,-3.8292545923468424e-05
132,9,156,-678.467754250364,-678.467673507889,-678.467626071313,0.0001281790509892744
133,156,9,-678.467673507889,-678.467754250364,-678.467626071313,4.74365759828288e-05
134,63,157,-678.447624614977,-678.44646937885,-678.446032070224,0.0015925447530662495
135,157,63,-678.44646937885,-678.447624614977,-678.446032070224,0.0004373086260329728
136,54,158,-678.467223189524,-678.467678711425,-678.463609355258,0.0036138342660478884
137,158,54,-678.467678711425,-678.467223189524,-678.463609355258,0.004069356167065052
138,158,6,-678.467678711425,-678.46794828317,-678.464895293546,0.0027834178790726583
139,6,158,-678.46794828317,-678.467678711425,-678.464895293546,0.0030529896240523158
140,79,159,-678.466015791456,-678.466081354831,-678.466435267458,-0.00041947600198000146
141,159,79,-678.466081354831,-678.466015791456,-678.466435267458,-0.0003539126270197812
142,159,32,-678.466081354831,-678.46648949554,-678.466461689647,-0.00038033481598631624
143,32,159,-678.46648949554,-678.466081354831,-678.466461689647,2.7805893068943988e-05
144,32,54,-678.46648949554,-678.467223189524,-678.464972909803,0.0015165857370220692
145,54,32,-678.467223189524,-678.46648949554,-678.464972909803,0.002250279721010884
146,36,160,-678.427077658495,-678.427418527096,-678.4159638253669,0.011113833128092665
147,160,36,-678.427418527096,-678.427077658495,-678.4159638253669,0.011454701729121552
148,83,161,-678.447039017263,-678.446468228488,-678.445380879061,0.0016581382020603996
149,161,83,-678.446468228488,-678.447039017263,-678.445380879061,0.0010873494270526862
150,78,162,-678.447279095775,-678.440380002515,-678.424994575331,0.02228452044403184
151,162,78,-678.440380002515,-678.447279095775,-678.424994575331,0.015385427184014588
152,11,163,-678.440503499338,-678.4618862327591,-678.438795933244,0.0017075660939553927
153,163,11,-678.4618862327591,-678.440503499338,-678.438795933244,0.023090299515047263
154,163,164,-678.4618862327591,-678.5025118173841,-678.452236483288,0.00964974947112296
155,164,163,-678.5025118173841,-678.4618862327591,-678.452236483288,0.05027533409611351
